date_id,order_date
1,2025-06-29
2,2025-04-03
3,2025-01-15
4,2025-04-17
5,2025-03-13
6,2025-07-08
7,2025-01-21
8,2025-04-13
9,2025-05-02
10,2025-07-30
11,2025-08-03
12,2025-03-16
13,2025-07-22
14,2025-03-29
15,2025-04-27
16,2025-04-10
17,2025-04-14
18,2025-06-01
19,2025-05-11
20,2025-05-30
21,2025-02-22
22,2025-01-02
23,2025-08-24
24,2025-06-07
25,2025-02-07
26,2025-05-10
27,2025-07-11
28,2025-07-07
29,2025-06-10
30,2025-07-23
31,2025-02-27
32,2025-01-22
33,2025-03-30
34,2025-02-18
35,2025-08-07
36,2025-02-28
37,2025-06-19
38,2025-08-08
39,2025-07-27
40,2025-07-09
41,2025-06-24
42,2025-02-20
43,2025-04-18
44,2025-02-24
45,2025-03-05
46,2025-08-17
47,2025-05-15
48,2025-03-14
49,2025-06-16
50,2025-01-18
51,2025-05-12
52,2025-03-01
53,2025-01-14
54,2025-08-30
55,2025-01-09
56,2025-03-31
57,2025-03-25
58,2025-04-02
59,2025-04-21
60,2025-07-18
61,2025-06-21
62,2025-01-08
63,2025-02-04
64,2025-07-25
65,2025-03-22
66,2025-06-13
67,2025-02-19
68,2025-05-14
69,2025-02-23
70,2025-04-16
71,2025-01-04
72,2025-08-09
73,2025-07-10
74,2025-05-26
75,2025-08-06
76,2025-02-13
77,2025-06-11
78,2025-07-21
79,2025-08-16
80,2025-04-05
81,2025-02-17
82,2025-07-19
83,2025-02-09
84,2025-08-01
85,2025-08-25
86,2025-03-23
87,2025-01-24
88,2025-06-03
89,2025-08-05
90,2025-05-04
91,2025-02-10
92,2025-06-06
93,2025-02-14
94,2025-03-06
95,2025-03-12
96,2025-02-16
97,2025-05-09
98,2025-05-16
99,2025-08-04
100,2025-05-19
101,2025-08-31
102,2025-06-12
103,2025-02-02
104,2025-05-03
105,2025-01-05
106,2025-08-22
107,2025-08-19
108,2025-01-28
109,2025-07-20
110,2025-01-12
111,2025-05-31
112,2025-02-06
113,2025-04-09
114,2025-08-02
115,2025-07-12
116,2025-08-15
117,2025-04-11
118,2025-01-01
119,2025-05-22
120,2025-01-27
121,2025-05-17
122,2025-07-26
123,2025-02-11
124,2025-07-24
125,2025-06-28
126,2025-04-06
127,2025-08-29
128,2025-02-21
129,2025-08-10
130,2025-05-23
131,2025-06-20
132,2025-01-29
133,2025-02-05
134,2025-01-13
135,2025-06-09
136,2025-07-06
137,2025-07-04
138,2025-01-30
139,2025-05-08
140,2025-08-13
141,2025-05-01
142,2025-04-26
143,2025-08-21
144,2025-01-03
145,2025-07-17
146,2025-06-04
147,2025-06-14
148,2025-04-28
149,2025-04-23
150,2025-07-05
151,2025-02-08
152,2025-07-03
153,2025-08-12
154,2025-05-27
155,2025-05-06
156,2025-07-02
157,2025-05-25
158,2025-04-08
159,2025-08-28
160,2025-05-24
161,2025-04-07
162,2025-05-28
163,2025-07-14
164,2025-06-17
165,2025-01-11
166,2025-06-27
167,2025-06-08
168,2025-01-07
169,2025-04-22
170,2025-05-20
171,2025-07-16
172,2025-04-30
173,2025-06-15
174,2025-06-02
175,2025-04-20
176,2025-07-13
177,2025-06-18
178,2025-06-25
179,2025-04-25
180,2025-04-29
181,2025-08-26
182,2025-08-18
183,2025-04-19
184,2025-07-01
185,2025-08-14
186,2025-01-17
187,2025-02-15
188,2025-01-06
189,2025-06-30
190,2025-01-25
191,2025-08-11
192,2025-06-23
193,2025-04-24
194,2025-02-01
195,2025-05-07
196,2025-02-12
197,2025-01-26
198,2025-02-26
199,2025-06-22
200,2025-01-20
201,2025-05-05
202,2025-08-23
203,2025-07-15
204,2025-04-04
205,2025-01-19
206,2025-01-23
207,2025-08-27
208,2025-02-03
209,2025-08-20
210,2025-01-16
211,2025-01-10
212,2025-05-18
213,2025-05-21
214,2025-04-15
215,2025-06-26
216,2025-07-29
217,2025-05-13
218,2025-04-01
219,2025-02-25
220,2025-05-29
221,2025-04-12
222,2025-06-05
223,2025-07-31
224,2025-07-28
225,2025-01-31
226,2025-03-28
227,2025-03-24
228,2025-03-10
229,2025-03-15
230,2025-03-19
231,2025-03-26
232,2025-03-17
233,2025-03-18
234,2025-03-20
235,2025-03-04
236,2025-03-11
237,2025-03-03
238,2025-03-09
239,2025-03-07
240,2025-03-21
241,2025-03-02
242,2025-03-27
243,2025-03-08
